Title,Repository,Year,Classification,Journal,Author(-s),Link,Study(-ies),Same Group
Non-targeted metabolomics combined with genetic analyses identifies bile acid synthesis and phospholipid metabolism as being associated with incident type 2 diabetes,MetaboLights,2016,Biological studies,Diabetologia,"Fall T, Salihovic S, Brandmaier S, Nowak C, Ganna A, Gustafsson S, Broeckling CD, Prenni JE, Kastenm»ller G, Peters A, Magnusson PK, Wang-Sattler R, Giedraitis V, Berne C, Gieger C, Pedersen NL, Ingelsson E & Lind L",https://doi.org/10.1007/s00125-016-4041-1,"MTBLS90,MTBLS93,MTBLS124",1
Partial least squares with structured output for modelling the metabolomics data obtained from complex experimental designs: A study into the Y-block coding,MetaboLights,2016,Methods,Metabolites,"Xu Y, Muhamadali H, Sayqal A, Dixon N & Goodacre R",https://doi.org/10.3390/metabo6040038,MTBLS320,1
Dereplication of peptidic natural products through database search of mass spectra,GNPS,2016,Methods,Nature Chemical Biology,"Mohimani H, Gurevich A, Mikheenko A, Garg N, Nothias L-F, Ninomiya A, Takada K, Dorrestein PC & Pevzner PA",https://doi.org/10.1038/nchembio.2219,"201 GNPS datasets,MSV000078577,MSV000078552,MSV000078607,MSV000078557,MSV000079098,MSV000078787,MSV000078936,MSV000078937,MSV000078836,MSV000078803,MSV000078817,MSV000078635,MSV000078606,MSV000078568,MSV000078839",1
DES-ncRNA: A knowledgebase for exploring information about human micro and long noncoding RNAs based on literature-mining,MetaboLights,2017,Resource,RNA Biology,"Salhi A, Essack M, Alam T, Bajic VP, Ma L, Radovanovic A, Marchand B, Schmeier S, Zhang Z & Bajic VB",https://doi.org/10.1080/15476286.2017.1312243,-,0
DES-TOMATO: A Knowledge Exploration System Focused On Tomato Species,MetaboLights,2017,Resource,Scientific Reports,"Salhi A, Negræo S, Essack M, Morton MJL, Bougouffa S, Razali R, Radovanovic A, Marchand B, Kulmanov M, Hoehndorf R, Tester M & Bajic VB",https://doi.org/10.1038/s41598-017-05448-0,-,0
MsPurity: Automated Evaluation of Precursor Ion Purity for Mass Spectrometry-Based Fragmentation in Metabolomics,MetaboLights,2017,Software,Analytical Chemistry,"Lawson TN, Weber RJ, Jones MR, Chetwynd AJ, Rodr_ Guez-Blanco G, Di Guida R, Viant MR & Dunn WB",https://doi.org/10.1021/acs.analchem.6b04358,"MTBLS26,MTBLS36,MTBLS117,MTBLS144,MTBLS154,MTBLS155,MTBLS157,MTBLS214",0
NOREVA: normalization and evaluation of MS-based metabolomics data,MetaboLights,2017,Software,Nucleic Acids Research,"Li B, Tang J, Yang Q, Li S, Cui X, Li Y, Chen Y, Xue W, Li X & Zhu F",https://doi.org/10.1093/nar/gkx449,"MTBLS28,MTBLS59,MTBLS79,MTBLS146",0
Untargeted metabolomics suffers from incomplete data analysis,"MetaboLights, Metabolomics Workbench",2017,Methods,Metabolomics,Baran R,https://doi.org/10.1007/s11306-017-1246-3,"MTBLS214,ST000403,ST000326,ST000220,ST000259",0
Joint Bounding of Peaks Across Samples Improves Differential Analysis in Mass Spectrometry-Based Metabolomics,MetaboLights,2017,Software,Analytical Chemistry,"Myint L, Kleensang A, Zhao L, Hartung T & Hansen KD",https://doi.org/10.1021/acs.analchem.6b04719,"MTBLS2,MTBLS103,MTBLS213,MTBLS126",0
LiverWiki: a wiki-based database for human liver,"MetaboLights, Metabolomics Workbench",2017,Resource,BMC Bioinformatics,"Chen T, Li M, He Q, Zou L, Li Y, Chang C, Zhao D & Zhu Y",https://doi.org/10.1186/s12859-017-1852-0,-,0
mzML2ISA & nmrML2ISA: generating enriched ISA-Tab metadata files from metabolomics XML data,MetaboLights,2017,Software,Bioinformatics,"Larralde M, Lawson TN, Weber RJM, Moreno P, Haug K, Rocca-Serra P, Viant MR, Steinbeck C & Salek RM",https://doi.org/10.1093/bioinformatics/btx169,"MTBLS1,MTBLS32,MTBLS36,MTBLS38,MTBLS67,MTBLS87,MTBLS88,MTBLS125,MTBLS126,MTBLS127,MTBLS137,MTBLS140,MTBLS228,MTBLS229,MTBLS263,MTBLS265,MTBLS266,MTBLS273,MTBLS289,MTBLS315,MTBLS341",1
Mass Spectral Feature List Optimizer (MS-FLO): A Tool To Minimize False Positive Peak Reports in Untargeted Liquid Chromatography-Mass Spectroscopy (LC-MS) Data Processing,Metabolomics Workbench,2017,Software,Analytical Chemistry,"DeFelice BC, Mehta SS, Samra S, Cajka T, Wancewicz B, Fahrmann JF & Fiehn O",https://doi.org/10.1021/acs.analchem.6b04372,"ST000318,ST000327,ST000387,ST000319,ST000344,ST000321,ST000382,ST000077,ST000354,ST000354,ST000340,ST000075,ST000324,ST000322,ST000342,ST000317,ST000326,ST000320",1
xMSannotator: an R package for network-based annotation of high-resolution metabolomics data,Metabolomics Workbench,2017,Software,Analytical Chemistry,"Uppal K, Walker D & Jones D",https://doi.org/10.1021/acs.analchem.6b01214,ST000163,1
Distribution based nearest neighbor imputation for truncated high dimensional data with applications to pre-clinical and clinical metabolomics studies,Metabolomics Workbench,2017,Methods,BMC Bioinformatics,"Shah JS, Rai SN, DeFilippis AP, Hill BG, Bhatnagar A & Brock GN",https://doi.org/10.1186/s12859-017-1547-6,ST000011,0
Significance estimation for large scale untargeted metabolomics annotations,GNPS,2017,Methods,Nature Communications,"Scheubert K, Hufsky F, Petras D, Wang M, Nothias L-F, Duhrkop K, Bandeira N, Dorrestein PC & Bocker S",https://doi.org/10.1038/s41467-017-01318-5,"MSV000078567,MSV000078584,MSV000078586,MSV000078589,MSV000078598,MSV000078603,MSV000078611,MSV000078612,MSV000078628,MSV000078649,MSV000078658,MSV000078670,MSV000078683,MSV000078708,MSV000078710,MSV000078711,MSV000078719,MSV000078726,MSV000078744,MSV000078805,MSV000078811,MSV000078812,MSV000078816,MSV000078832,MSV000078892,MSV000078903,MSV000078922,MSV000078936,MSV000078960,MSV000078993,MSV000079029,MSV000079040,MSV000079050,MSV000079069,MSV000079091,MSV000079104,MSV000079105,MSV000079146,MSV000079243,MSV000079329,MSV000079339,MSV000079341,MSV000079344,MSV000079356,MSV000079398,MSV000079416,MSV000079421,MSV000079447,MSV000079450,MSV000079558,MSV000079573,MSV000079581,MSV000079598,MSV000079651,MSV000079652,MSV000079679,MSV000079758,MSV000079760,MSV000079772,MSV000079773,MSV000079777,MSV000079778,MSV000079787,MSV000079808,MSV000079813,MSV000079825,MSV000079838,MSV000079888,MSV000079905,MSV000079907",1
Proposal for a common nomenclature for fragment ions in mass spectra of lipids.,MetaboLights,2017,Metadata,PLOS ONE,"Pauling JK, Hermansson M, Hartler J, Christiansen K, Gallego SF, Peng B, Ahrends R & Ejsing CS",https://doi.org/10.1371/journal.pone.0188394,MTBLS394,1
Metadata analyser: Measuring metadata quality,MetaboLights,2017,Metadata,Advances in Intelligent Systems and Computing,"Inacio B, Ferreira JD & Couto FM",https://doi.org/10.1007/978-3-319-60816-7_24,All MetaboLights studies as of April 2016 (161),0
"Assessing Public Metabolomics Metadata, Towards Improving Quality.",MetaboLights,2017,Metadata,Journal of Integrative Bioinformatics,"Ferreira JD, Inacio B, Salek RM & Couto FM",https://doi.org/10.1515/jib-2017-0054,All MetaboLights studies as of July 2017 (264),1
Molecular structures enumeration and virtual screening in the chemical space with RetroPath2.0.,MetaboLights,2017,Resource,Journal of Cheminformatics,"Koch M, Duigou T, Carbonell P & Faulon JL",https://doi.org/10.1186/s13321-017-0252-9,MTBLS229,0
Chemical Similarity Enrichment Analysis (ChemRICH) as alternative to biochemical pathway mapping for metabolomic datasets,Metabolomics Workbench,2017,Resource,Scientific Reports,Barupal DK & Fiehn O,https://doi.org/10.1038/s41598-017-15231-w,ST000075,1
Meta-mass shift chemical profiling of metabolomes from coral reefs.,GNPS,2017,Methods,PNAS,"Hartmann AC, Petras D, Quinn RA, Protsyuk I, Archer FI, Ransome E, Williams GJ, Bailey BA, Vermeij MJA , Alexandrov T, Dorrestein PC & Rohwer FL",https://doi.org/10.1073/pnas.1710248114,MSV000078598,1
Compliance with minimum information guidelines in public metabolomics repositories,"MetaboLights, Metabolomics Workbench, MetaPhen, MeRy-B",2017,Metadata,Scientific Data,"Spicer R, Salek R & Steinbeck C",https://doi.org/10.1038/sdata.2017.137,"MTBLS30,MTBLS31,MTBLS32,MTBLS33,MTBLS34,MTBLS61,MTBLS81,MTBLS96,MTBLS125,MTBLS143,MTBLS166,MTBLS173,MTBLS197,MTBLS219,MTBLS243,MTBLS313,MTBLS345,MTBLS368,MTBLS378,MTBLS189,MTBLS216,MTBLS217,MTBLS225,MTBLS240,MTBLS376,MTBLS327,MTBLS422,MTBLS126,ST000026,ST000027,ST000028,ST000029,ST000030,ST000031,ST000032,ST000033,ST000034,ST000035,ST000036,ST000037,ST000038,ST000039,ST000056,ST000069,ST000070,ST000071,ST000074,ST000075,ST000083,ST000090,ST000095,ST000099,ST000115,ST000121,ST000133,ST000135,ST000160,ST000169,ST000171,ST000176,ST000182,ST000188,ST000192,ST000193,ST000194,ST000195,ST000198,ST000201,ST000203,ST000206,ST000207,ST000213,ST000215,ST000222,ST000224,ST000225,ST000226,ST000232,ST000233,ST000245,ST000257,ST000261,ST000272,ST000274,ST000296,ST000299,ST000304,ST000310,ST000313,ST000316,ST000321,ST000330,ST000331,ST000332,ST000338,ST000352,ST000354,ST000371,ST000419,ST000425,ST000426,ST000427,ST000428,ST000451,ST000452,ST000510,ST000311,ST000341,ST000314,ST000164,ST000196,ST000212,ST000254,ST000287,ST000325,ST000340,ST000374,ST000375,ST000376,A05001,A06001,MTBLS2,MTBLS7,MTBLS11,MTBLS12,MTBLS13,MTBLS22,MTBLS40,MTBLS41,MTBLS42,MTBLS45,MTBLS47,MTBLS57,MTBLS74,MTBLS95,MTBLS129,MTBLS160,MTBLS169,MTBLS188,MTBLS338,MTBLS341,ST000001,ST000013,ST000320,MEX1,MEX2,MEX5,MEX6,MEX10,MEX11,MEX15,MEX16,MEX18,MEX27,MEX28,MEX36,MEX42,MEX44,MEX45,MEX53,MEX68,MEX69,MEX70,MEX71,MEX72,MEX74,MEX75,MEX76,MEX77,MEX82,MEX86,MEX90,MEX93,MEX96,MEX97,MEX98,MEX99,MEX101,MEX104,MEX106,MEX115,MTBLS1,MTBLS17,MTBLS19,MTBLS20,MTBLS24,MTBLS27,MTBLS28,MTBLS46,MTBLS71,MTBLS72,MTBLS87,MTBLS88,MTBLS90,MTBLS92,MTBLS93,MTBLS100,MTBLS103,MTBLS105,MTBLS124,MTBLS146,MTBLS161,MTBLS162,MTBLS163,MTBLS164,MTBLS172,MTBLS174,MTBLS176,MTBLS178,MTBLS191,MTBLS198,MTBLS200,MTBLS218,MTBLS234,MTBLS237,MTBLS242,MTBLS253,MTBLS264,MTBLS265,MTBLS266,MTBLS267,MTBLS273,MTBLS279,MTBLS280,MTBLS282,MTBLS289,MTBLS298,MTBLS307,MTBLS315,MTBLS354,MTBLS358,MTBLS364,MTBLS374,MTBLS385,MTBLS404,MTBLS414,MTBLS424,MTBLS427,ST000002,ST000004,ST000009,ST000010,ST000011,ST000041,ST000042,ST000044,ST000045,ST000046,ST000047,ST000061,ST000062,ST000063,ST000065,ST000081,ST000082,ST000091,ST000092,ST000093,ST000104,ST000105,ST000106,ST000122,ST000137,ST000138,ST000149,ST000150,ST000158,ST000161,ST000163,ST000166,ST000168,ST000189,ST000218,ST000220,ST000221,ST000223,ST000230,ST000231,ST000236,ST000250,ST000255,ST000270,ST000273,ST000283,ST000284,ST000285,ST000291,ST000292,ST000293,ST000298,ST000303,ST000306,ST000315,ST000329,ST000336,ST000337,ST000342,ST000346,ST000355,ST000356,ST000367,ST000368,ST000369,ST000381,ST000382,ST000383,ST000385,ST000386,ST000387,ST000388,ST000389,ST000390,ST000391,ST000392,ST000396,ST000397,ST000398,ST000412,ST000413,ST000421,ST000422,ST000432,ST000433,ST000434,ST000435,ST000438,ST000439,ST000440,ST000443,ST000445,ST000450,ST000477,ST000483,ST000502,ST000542,ST000543,MEX66,MTBLS102,MTBLS104,MTBLS127,MTBLS140,MTBLS150,MTBLS152,MTBLS156,MTBLS177,MTBLS213,MTBLS214,MTBLS226,MTBLS227,MTBLS233,MTBLS247,MTBLS277,MTBLS337,MTBLS419,ST000016,ST000043,ST000058,ST000076,ST000077,ST000087,ST000089,ST000096,ST000110,ST000111,ST000113,ST000114,ST000134,ST000140,ST000142,ST000144,ST000145,ST000146,ST000147,ST000153,ST000154,ST000159,ST000172,ST000199,ST000202,ST000242,ST000246,ST000248,ST000249,ST000276,ST000278,ST000279,ST000282,ST000288,ST000295,ST000301,ST000302,ST000370,ST000379,ST000380,ST000403,ST000404,ST000442,ST000465,ST000539",1
Evaluation and comparison of bioinformatic tools for the enrichment analysis of metabolomics data,"MetaboLights, Metabolomics Workbench",2018,Methods,BMC Bioinformatics,"Marco-Ramell A, Palau-Rodriguez M, Alay A, Tulipani S, Urpi-Sarda M, Sanchez-Pla A & Andres-Lacueva C",https://doi.org/10.1186/s12859-017-2006-0,"ST000091,ST000383,MTBLS364,MTBLS424,ST000284",0
Increased diversity of peptidic natural products revealed by modification-tolerant database search of mass spectra,GNPS,2018,Methods,Nature Microbiology,"Gurevic A, Mikheenko A, Shlemov A, Korobeynikov A, Mohimani H & Pevzner PA",https://doi.org/10.1038/s41564-017-0094-2,"MSV000079450,MSV000078604,MSV000078839,MSV000078568,120 GNPS datasets",0
